"","track_title","album","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust"
"1","32 Ave (Intro)","32 Zel/Planet Shrooms",7,8,3,6,4,9,8,3,3,6
"2","A Day in the Life of Denzel Curry Pt. 2","Nostalgic 64",13,5,7,10,2,14,4,5,6,5
"3","Benz","Nostalgic 64",16,5,19,14,4,32,10,20,0,5
"4","BLACK BALLOONS | 13LACK 13ALLOONZ (Ft. GoldLink & Twelve'Len)","TA13OO",14,4,8,15,2,25,11,20,5,8
"5","BLACK METAL TERRORIST | 13 M T","TA13OO",25,2,25,29,3,34,6,28,8,2
"6","Bloodshed","13",14,6,14,17,3,33,9,17,3,5
"7","Bwoii (Ft. J.K. The Reaper & Nell)","32 Zel/Planet Shrooms",28,15,27,29,10,52,22,23,5,21
"8","Captain Sea Fonk","32 Zel/Planet Shrooms",12,2,8,13,4,12,15,14,3,3
"9","CASH MANIAC | CAZH MAN1AC (ft. Nyyjerya)","TA13OO",17,32,4,10,24,23,32,8,10,24
"10","Chief Forever","32 Zel/Planet Shrooms",20,7,10,14,16,25,24,15,5,15
"11","CLOUT COBAIN | CLOUT CO13A1N","TA13OO",11,11,17,21,4,35,12,15,6,13
"12","Dark & Violent (Ft. J.K. The Reaper & Nell)","Nostalgic 64",26,19,19,29,11,44,29,23,15,17
"13","Delusional Shone (Ft. Twelve'Len)","32 Zel/Planet Shrooms",10,9,6,6,5,16,13,7,1,4
"14","Denny Cascade","Nostalgic 64",11,5,7,7,6,26,14,8,5,11
"15","Envy Me","32 Zel/Planet Shrooms",29,10,16,22,7,43,15,14,7,9
"16","Equalizer (Ft. Ronny J)","13",17,8,12,14,9,23,10,10,3,6
"17","Gook","Imperial",8,8,10,10,4,15,18,11,1,11
"18","Hate Government","13",16,14,14,16,0,24,7,10,2,4
"19","Heartless","13",8,5,6,7,4,21,8,13,1,4
"20","Ice Age (Ft. Mike Dece)","32 Zel/Planet Shrooms",24,3,25,21,3,48,7,20,0,2
"21","If Tomorrow's Not Here (Ft. Twelve'Len)","Imperial",23,27,5,26,13,34,25,10,5,16
"22","Knotty Head (Ft. Rick Ross)","Imperial",14,20,10,14,12,29,20,10,10,12
"23","Like Me (Ft. Steven A. Clark)","Nostalgic 64",8,17,4,10,19,18,29,12,8,17
"24","Lord Vader Kush II","32 Zel/Planet Shrooms",35,7,26,24,7,64,16,25,8,14
"25","MAD I GOT IT | MAD 1 GOT 1T","TA13OO",33,20,29,24,7,46,20,22,6,8
"26","Mystical Virus Pt. 3: The Scream (Ft. Lil Ugly Mane & Mike G)","Nostalgic 64",32,17,16,42,10,47,28,27,21,15
"27","N64","Nostalgic 64",42,12,33,34,14,62,25,27,21,15
"28","Narcotics","Imperial",14,8,11,9,3,28,7,10,3,3
"29","Parents","Nostalgic 64",28,11,22,11,12,35,15,14,3,12
"30","Past the Wudz Intro (Ft. Big Rube)","32 Zel/Planet Shrooms",12,19,10,15,16,23,21,11,11,16
"31","PERCS | PERCZ","TA13OO",28,16,28,16,17,31,20,12,11,19
"32","Planet Shrooms II (Ft. J.K. The Reaper)","32 Zel/Planet Shrooms",16,9,10,14,6,23,27,9,3,11
"33","Pure Enough","Imperial",5,7,4,5,8,9,16,6,1,9
"34","Sick & Tired","Imperial",19,16,21,21,16,43,33,13,10,20
"35","SIRENS | Z1RENZ (Ft. JID)","TA13OO",31,20,21,35,10,46,21,20,16,21
"36","Smoke 2049","32 Zel/Planet Shrooms",7,2,4,7,3,11,5,4,2,3
"37","Story: No Title","Imperial",17,15,14,21,15,35,38,19,5,15
"38","SUMO | ZUMO","TA13OO",15,11,9,7,12,15,21,6,11,11
"39","SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN","TA13OO",14,6,10,7,6,19,11,6,3,11
"40","SWITCH IT UP | ZWITCH 1T UP","TA13OO",15,15,7,6,15,22,25,8,7,18
"41","TABOO | TA13OO","TA13OO",15,8,14,20,7,23,8,17,7,4
"42","Talk That Shit","Nostalgic 64",37,1,31,9,2,41,56,6,2,27
"43","THE BLACKEST BALLOON | THE 13LACKEZT 13ALLOON","TA13OO",23,8,21,12,1,30,25,10,7,17
"44","This Life","Imperial",18,2,14,12,4,30,20,27,2,7
"45","Threatz (Ft. Robb Bank$ & Yung Simmie)","Nostalgic 64",48,6,16,52,38,58,43,18,5,35
"46","ULT","Imperial",15,15,11,23,10,32,16,18,13,17
"47","ULTIMATE","32 Zel/Planet Shrooms",27,27,30,21,12,59,26,23,11,20
"48","Underwater","32 Zel/Planet Shrooms",19,20,14,26,19,44,31,22,7,18
"49","VENGEANCE | VENGEANCE (Ft. JPEGMAFIA & ZillaKami)","TA13OO",40,9,38,63,6,86,15,62,7,11
"50","Void (Ft. ForteBowie & Leonardo Safari)","32 Zel/Planet Shrooms",22,8,16,15,7,39,19,11,7,12
"51","Widescreen","Nostalgic 64",6,9,5,7,7,8,16,5,7,9
"52","Zeltron 6 Billion (Ft. Lil Ugly Mane)","13",30,7,23,29,3,42,11,29,6,7
"53","Zenith (Ft. Joey Bada$$)","Imperial",17,18,13,19,9,29,19,17,50,15
"54","Zone 3","Nostalgic 64",33,2,33,31,5,37,10,28,2,6
